f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
158.78599999999997,323.3599999999999,610.6312000000001,568.288,4148.0,7264.0,13882.0,11744.0,18.0,44.0,68.0,76.0,116.0,308.0,466.0,484.0,15.318199999999996,37.20080000000001,58.42739999999999,62.31279999999999,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
158.78599999999997,323.3599999999999,610.6312000000001,568.2879999999999,4148.0,7264.0,13882.0,11744.0,18.0,44.0,68.0,76.0,116.0,308.0,466.0,484.0,15.318199999999996,37.20080000000001,58.42739999999999,62.3128,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999996,25.112000000000002,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112,34.054399999999994,43.0992,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000002,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.19520000000006,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.11200000000001,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.19520000000006,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.11200000000001,34.054399999999994,43.09919999999999,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.19520000000006,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.09919999999999,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
158.78599999999997,323.35999999999996,610.6311999999999,568.2879999999999,4148.0,7264.0,13882.0,11744.0,18.0,44.0,68.0,76.0,116.0,308.0,466.0,484.0,15.318199999999996,37.200799999999994,58.42739999999999,62.312799999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
158.78599999999997,323.35999999999996,610.6311999999999,568.2879999999999,4148.0,7264.0,13882.0,11744.0,18.0,44.0,68.0,76.0,116.0,308.0,466.0,484.0,15.318199999999996,37.200799999999994,58.42739999999999,62.312799999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.8988,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.09919999999999,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.632,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.09919999999999,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.1952,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999996,25.112000000000002,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
127.89880000000001,244.92799999999994,456.19520000000006,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.112000000000005,34.054399999999994,43.099199999999996,3.6100000000000017,24.836799999999997,19.113999999999997,45.56959999999996,841.0,881.6,1397.8,1624.0,1.0,3.8,4.2,7.8,14.6,31.4,50.0,72.6,1.9044,3.8281199999999993,5.304720000000003,8.034359999999996,0.0,-5.8519999999999985,-2.0799999999999987,-9.163999999999998,0.0,79.8,73.6,170.2,0.0,0.0,0.0,0.0,0.0,6.4,2.8,10.8,0.0,2.4699999999999993,1.9519999999999986,4.9419999999999975,EJOQUR_clean_primitive
